bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot	NumberofPages	Published	Characters	Setting	Url
The Name of the Wind	(The Kingkiller Chronicle #1)	Patrick Rothfuss	4.52	722419	42209	Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature. A high-action story written with a poet's hand, The Name of the Wind is a masterpiece that will transport readers into the body and mind of a wizard.	662	April 2007 by	Bast, Denna, Ambrose, Kvothe, Simmon, Wilem, The Chandrian, Devi, Auri, Fela, Chronicler	NaN	"/book/show/186074.The_Name_of_the_Wind
"
The Shining	(The Shining #1)	Stephen King	4.23	1134750	25193	Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.	659	July 1st 1980	Wendy Torrance, Danny Torrance, Dick Halloran, Horace Derwent, Stuart Ullman, Albert Shockley, Delberg Grady, Watson, Bill Edmonds, Charles Grondin, Sylvia Hunter Derwent, Howard Cottrell, Larry Durkin, Jack Torrance	Colorado	"/book/show/11588.The_Shining
"
The Adventures of Tom Sawyer	(Adventures of Tom and Huck #1)	Mark Twain	3.91	762313	10054	"The Adventures of Tom Sawyer revolves around the youthful adventures of the novel's schoolboy protagonist, Thomas Sawyer, whose reputation precedes him for causing mischief and strife. Tom lives with his Aunt Polly, half-brother Sid, and cousin Mary in the quaint town of St. Petersburg, just off the shore of the Mississippi River. St. Petersburg is described as a typical small-town atmosphere where the Christian faith is predominant, the social network is close-knit, and familiarity resides.  Unlike his brother Sid, Tom receives ""lickings"" from his Aunt Polly; ever the mischief-maker, would rather play hooky than attend school and often sneaks out his bedroom window at night to adventure with his friend, Huckleberry Finn ­ the town's social outcast. Tom, despite his dread of schooling, is extremely clever and would normally get away with his pranks if Sid were not such a ""tattle-tale.""  As punishment for skipping school to go swimming, Aunt Polly assigns Tom the chore of whitewashing the fence surrounding the house. In a brilliant scheme, Tom is able to con the neighborhood boys into completing the chore for him, managing to convince them of the joys of whitewashing. At school, Tom is equally as flamboyant, and attracts attention by chasing other boys, yelling, and running around. With his usual antics, Tom attempts to catch the eye of Becky Thatcher, a new girl in town, and persuades her to get ""engaged"" by kissing him. But their romance collapses when she learns Tom has been ""engaged"" previously to Amy Lawrence. Shortly after Becky shuns him, he accompanies Huckleberry Finn to the graveyard at night, where they witness the murder of Dr. Robinson.Excerpt:""TOM!"" No answer. ""TOM!"" No answer. ""What's gone with that boy,  I wonder? You TOM!"" No answer. The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service—she could have seen through a pair of stove-lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear: ""Well, I lay if I get hold of you I'll—"" She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with. She resurrected nothing but the cat. ""I never did see the beat of that boy!"""	244	February 28th 2006	Huckleberry Finn, Tom Sawyer	Hannibal, Missouri, Missouri	"/book/show/24583.The_Adventures_of_Tom_Sawyer
"
Eragon	(The Inheritance Cycle #1)	Christopher Paolini	3.90	1445380	22255	An alternate cover edition for ISBN 9780375826696 can be found here.One boy...One dragon...A world of adventure. When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself. Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds. Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands.	503	April 2005 by	Eragon (The Inheritance Cycle), Saphira (The Inheritance Cycle), Roran Garrowsson, Arya (The Inheritance Cycle), Brom (The Inheritance Cycle), Orik (The Inheritance Cycle), Horst (The Inheritance Cycle), Murtagh (The Inheritance Cycle), Solembum, Queen Islanzadi, Angela the Herbalist	Alagaësia	"/book/show/113436.Eragon
"
Charlie and the Chocolate Factory	(Charlie Bucket #1)	Roald Dahl	4.14	668987	12076	Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!(back cover)	176	June 2nd 2005	Charlie Bucket, Willy Wonka, Violet Beauregarde, Veruca Salt, Augustus Gloop, Mike Teavee, Grandpa Joe	NaN	"/book/show/6310.Charlie_and_the_Chocolate_Factory
"
Flowers for Algernon	NaN	Daniel Keyes	4.14	481426	18589	The story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse. In diary entries, Charlie tells how a brain operation increases his IQ and changes his life. As the experimental procedure takes effect, Charlie's intelligence expands until it surpasses that of the doctors who engineered his metamorphosis. The experiment seems to be a scientific breakthrough of paramount importance until Algernon begins his sudden, unexpected deterioration. Will the same happen to Charlie?	216	(first published April	Charlie Gordon, Alice Kinnian	New York City, New York	"/book/show/36576608-flowers-for-algernon
"
On the Road	(Duluoz Legend)	Jack Kerouac	3.62	350613	15035	"A quintessential novel of America & the Beat Generation On the Road chronicles Jack Kerouac's years traveling the N. American continent with his friend Neal Cassady, ""a sideburned hero of the snowy West."" As ""Sal Paradise"" & ""Dean Moriarty,"" the two roam the country in a quest for self-knowledge & experience. Kerouac's love of America, compassion for humanity & sense of language as jazz combine to make On the Road an inspirational work of lasting importance. This classic novel of freedom & longing defined what it meant to be ""Beat"" & has inspired every generation since its initial publication."	307	January 1st 1976	NaN	NaN	"/book/show/70401.On_the_Road
"
The Metamorphosis	NaN	Franz Kafka	3.82	648839	18031	"Alternate cover edition of ISBN 0553213695 / 9780553213690""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" With it's startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, The Metamorphosis. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing—though absurdly comic—meditation on human feelings of inadequacy, guilt, and isolation, The Metamorphosis has taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man."""	201	March 1st 1972	Gregor Samsa, Grete Samsa, Mr. Samsa, Mrs. Samsa	NaN	"/book/show/485894.The_Metamorphosis
"
Looking for Alaska	NaN	John Green	4.02	1119663	56422	Before. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating Alaska Young. She is an event unto herself. She pulls Pudge into her world, launches him into the Great Perhaps, and steals his heart. Then. . . . After. Nothing is ever the same.	221	December 28th 2006	Miles Halter, Alaska Young, Chip Martin, Takumi Hikohito, Lara Buterskaya	Alabama	"/book/show/99561.Looking_for_Alaska
"
The Shadow of the Wind	(El cementerio de los libros olvidados #1)	Carlos Ruiz Zafón	4.27	467124	36158	Barcelona, 1945: A city slowly heals from its war wounds, and Daniel, an antiquarian book dealer's son who mourns the loss of his mother, finds solace in a mysterious book entitled The Shadow of the Wind, by one Julian Carax. But when he sets out to find the author's other works, he makes a shocking discovery: someone has been systematically destroying every copy of every book Carax has written. In fact, Daniel may have the last of Carax's books in existence. Soon Daniel's seemingly innocent quest opens a door into one of Barcelona's darkest secrets--an epic story of murder, madness, and doomed love.--back cover	487	2005 by Penguin	Daniel Sempere, Fermín Romero de Torres, Julián Carax, Miquel Moliner, Nuria Monfort, Francisco Javier Fumero, Beatriz Aguilar, Jorge Aldaya, Penélope Aldaya, Antoni Fortuny, Clara Barceló, Monsieur Darcieu, Viçenteta, Teniente Palacios, Doña Yvonne Sotoceballos, Jacinta Coronado, Gustavo Barceló, Bernarda, Fernando Ramos, Sophie Carax, Candide (Voltaire), Isaac Monfort, Anacleto	Barcelona	"/book/show/1232.The_Shadow_of_the_Wind
"
The Curious Incident of the Dog in the Night-Time	NaN	Mark Haddon	3.88	1197931	44386	Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow.Although gifted with a superbly logical brain, for fifteen-year-old Christopher everyday interactions and admonishments have little meaning. He lives on patterns, rules, and a diagram kept in his pocket. Then one day, a neighbor's dog, Wellington, is killed and his carefully constructive universe is threatened. Christopher sets out to solve the murder in the style of his favourite (logical) detective, Sherlock Holmes. What follows makes for a novel that is funny, poignant and fascinating in its portrayal of a person whose curse and blessing are a mind that perceives the world entirely literally.	226	May 18th 2004	Christopher John Francis Boone, Toby, Siobhan, Mr. Jeavons, Mrs. Alexander, Ed Boone, Judy Boone, Mr. Roger Shears, Mrs. Eileen Shears, Rhodri, Wellington	Swindon, England, London, England, England	"/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"
The Very Hungry Caterpillar	NaN	Eric Carle	4.30	398425	8029	THE all-time classic story, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life? One sunny Sunday, the caterpillar was hatched out of a tiny egg. He was very hungry. On Monday, he ate through one apple; on Tuesday, he ate through three plums--and still he was hungry. When full at last, he made a cocoon around himself and went to sleep, to wake up a few weeks later wonderfully transformed into a butterfly!The brilliantly innovative Eric Carle has dramatized the story of one of Nature's commonest yet loveliest marvels, the metamorphosis of the butterfly. This audiobook will delight as well as instruct the very youngest listener.	26	1994 by Puffin	NaN	NaN	"/book/show/4948.The_Very_Hungry_Caterpillar
"
Tuesdays with Morrie	NaN	Mitch Albom	4.11	787200	26198	Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you? Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - Mitch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live.	210	2000 by Warner	Mitch Albom, Morrie Schwartz	NaN	"/book/show/6900.Tuesdays_with_Morrie
"
The Unbearable Lightness of Being	NaN	Milan Kundera	4.10	344187	15567	In The Unbearable Lightness of Being, Milan Kundera tells the story of a young woman in love with a man torn between his love for her and his incorrigible womanizing and one of his mistresses and her humbly faithful lover. This magnificent novel juxtaposes geographically distant places, brilliant and playful reflections, and a variety of styles, to take its place as perhaps the major achievement of one of the world’s truly great writers.	320	October 27th 2009	Sabine, Franz, Tomáš, Tereza, Karenin	Prague (Praha), Zurich, Czech Republic	"/book/show/9717.The_Unbearable_Lightness_of_Being
"
The Name of the Rose	NaN	Umberto Eco	4.12	302936	9005	The year is 1327. Benedictines in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns detective. His tools are the logic of Aristotle, the theology of Aquinas, the empirical insights of Roger Bacon—all sharpened to a glistening edge by wry humor and a ferocious curiosity. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey, where “the most interesting things happen at night.”	536	September 28th 1994	William of Baskerville, Adso of Melk, Abo of Fossanova, Severinus of Sankt Wendel, Malachi of Hildesheim, Berengar of Arundel, Venantius of Salvemec, Jorge of Burgos, Remigio of Varagine, Salvatore of Montferrat, Nicholas of Morimondo, Ubertino of Casale, Bernard Gui, Benno of Uppsala, Alinardo of Grottaferrata, Michael of Cesena	Italian Benedictine monastery, Italy	"/book/show/119073.The_Name_of_the_Rose
"
Where the Red Fern Grows	NaN	Wilson Rawls	4.08	344119	11179	A loving threesome, they ranged the dark hills and river bottoms of Cherokee country. Old Dan had the brawn. Little Ann had the brains, and Billy had the will to make them into the finest hunting team in the valley. Glory and victory were coming to them, but sadness waited too. Where the Red Fern Grows is an exciting tale of love and adventure you'll never forget.	272	May 9th 2000	Billy Colman, Old Dan, Little Ann	Ozark Mountains, Oklahoma	"/book/show/10365.Where_the_Red_Fern_Grows
"
Harry Potter and the Chamber of Secrets	(Harry Potter #2)	J.K. Rowling	4.43	2747064	53242	Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!	341	June 2nd 1999	Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cornelius Fudge, Poppy Pomfrey, Oliver Wood, Dobby, Parvati Patil, Dean Thomas, James Potter, Seamus Finnigan, Rolanda Hooch, Katie Bell, Albus Dumbledore, Harry Potter, Hermione Granger	Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry	"/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
"
The Godfather	(The Godfather #1)	Mario Puzo	4.37	336882	8770	The Godfather—the epic tale of crime and betrayal that became a global phenomenon.Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and the allegiance to family—these are the themes that have resonated with millions of readers around the world and made The Godfather the definitive novel of the violent subculture that, steeped in intrigue and controversy, remains indelibly etched in our collective consciousness.~penguin.com	448	March 1st 2002	"Don Vito Corleone, Michael ""Mike"" Corleone, Santino ""Sonny"" Corleone, Constanzia ""Connie"" Corleone, Fredo ""Freddie"" Corleone, Tom Hagen, Johnny Fontane, Peter ""Pete"" Clemenza, Al Neri, Rocco Lampone, Luca Brasi, Michael ""Mike"" Corleone, Santino ""Sonny"" Corleone, Constanzia ""Connie"" Corleone, Fredo ""Freddie"" Corleone, Tom Hagen, Johnny Fontane, Peter ""Pete"" Clemenza, Luca Brasi"	United States of America, New York State, Sicily	"/book/show/22034.The_Godfather
"
The Scarlet Letter	NaN	Nathaniel Hawthorne	3.41	709264	14935	Nathaniel Hawthorne's THE SCARLET LETTER reaches to our nation's historical and moral roots for the material of great tragedy. Set in an early New England colony, the novel shows the terrible impact a single, passionate act has on the lives of three members of the community: the defiant Hester Prynne; the fiery, tortured Reverend Dimmesdale; and the obsessed, vengeful Chillingworth.With THE SCARLET LETTER, Hawthorne became the first American novelist to forge from our Puritan heritage a universal classic, a masterful exploration of humanity's unending struggle with sin, guilt and pride.	279	February 27th 2003	Hester Prynne, Arthur Dimmesdale, Roger Chillingworth, Pearl Prynne	Boston, Massachusetts	"/book/show/12296.The_Scarlet_Letter
"
In Cold Blood	NaN	Truman Capote	4.07	533548	16755	On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. At the center of his study are the amoral young killers Perry Smith and Dick Hickcock, who, vividly drawn by Capote, are shown to be reprehensible yet entirely and frighteningly human. In Cold Blood is a seminal work of modern prose, a remarkable synthesis of journalistic skill and powerfully evocative narrative.	343	1994 by Vintage	Perry Edward Smith, Richard Hickock, Herb Clutter, Bonnie Clutter, Nancy Clutter, Kenyon Clutter, Alvin Dewey	Holcomb, Kansas	"/book/show/168642.In_Cold_Blood
"
