bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot	NumberofPages	Published	Characters	Setting	Url
Alice's Adventures in Wonderland / Through the Looking-Glass	(Alice's Adventures in Wonderland #1-2)	Lewis Carroll	4.06	461911	10701	"""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass, accompanied by practical notes and Martina Pelouso's memorable full-colour illustrations."	239	December 1st 2000	The Hatter (Lewis Carroll), The Queen of Hearts (Lewis Carroll), The Cheshire Cat (Lewis Carroll), The White Rabbit (Lewis Carroll), Humpty Dumpty (Lewis Carroll), Tweedledum and Tweedledee (Lewis Carroll), The Dormouse (Lewis Carroll), The Red Queen (Lewis Carroll), The White Queen (Lewis Carroll), The White Knight (Lewis Carroll), The Mock Turtle (Lewis Carroll), The Jabberwock (Lewis Carroll), The Caterpillar (Lewis Carroll), Alice (Lewis Carroll), Dinah (Lewis Carroll), The March Hare (Lewis Carroll)	United Kingdom, England, Wonderland	https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Jane Eyre	NaN	Charlotte Brontë	4.13	1634156	42643	Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?	532	February 4th 2003	Jane Eyre, Bertha Mason, Grace Poole, Blanche Ingram, Adele Varens, St. John Rivers, Helen Burns, Richard Mason, Diana Rivers, Mary Rivers, Maria Temple, Robert Brocklehurst, Sarah Reed, Georgiana Reed, Eliza Reed, Bessie Lee, Alice Fairfax, Rosamond Oliver, Edward Rochester, John Eyre, Celine Varens	Thornfield, England	https://www.goodreads.com/book/show/10210.Jane_Eyre
Harry Potter and the Order of the Phoenix	(Harry Potter #5)	J.K. Rowling	4.50	2527001	42768	There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.	870	September 2004 by	Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Stan Shunpike, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Luna Lovegood, Nymphadora Tonks, Dolores Umbridge, Dobby, Kingsley Shacklebolt, Padma Patil, Parvati Patil, Kreacher, Dean Thomas, Seamus Finnigan, Albus Dumbledore, Harry Potter, Hermione Granger, Lavender Brown	Hogwarts School of Witchcraft and Wizardry, London, England	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Les Misérables	NaN	Victor Hugo	4.18	685899	17623	Victor Hugo's tale of injustice, heroism and love follows the fortunes of Jean Valjean, an escaped convict determined to put his criminal past behind him. But his attempts to become a respected member of the community are constantly put under threat: by his own conscience, when, owing to a case of mistaken identity, another man is arrested in his place; and by the relentless investigations of the dogged Inspector Javert. It is not simply for himself that Valjean must stay free, however, for he has sworn to protect the baby daughter of Fantine, driven to prostitution by poverty.	1463	March 3rd 1987	Jean Valjean, Javert, Cosette, Fantine, Bishop Myriel, M. & Mme. Thénardier, Marius Pontmercy, Enjolras, Éponine, Gavroche, Azelma, Champmathieu, Fauchelevent, Grantaire, Mademoiselle Gillenorman, Felix Tholomyès, Toussaint, Combeferre, Jean Valjean, Javert, Fantine, Cosette, Marius Pontmercy, Jean Valjean, Police Inspector Javert, Cosette, Fantine, Marius Pontmercy, Éponine, Enjolras, Gavroche, Bishop of Digne, Grantaire, Bahorel, Bossuet	Paris	https://www.goodreads.com/book/show/24280.Les_Mis_rables
Fahrenheit 451	NaN	Ray Bradbury	3.99	1693062	48445	Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden.Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television 'family'. But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people did not live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television.When Mildred attempts suicide and Clarisse suddenly disappears, Montag begins to question everything he has ever known.	194	November 29th 2011	Guy Montag, Norman Corwin, Clarisse McClellan, Mildred Montag, Captain Beatty, Professor Faber	NaN	https://www.goodreads.com/book/show/13079982-fahrenheit-451
Divergent	(Divergent #1)	Veronica Roth	4.19	2926326	108465	In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.	487	February 28th 2012	Albert, Drew Leighton (Divergent), Eric (Divergent), Beatrice Prior, Peter, Caleb Prior, Natalie Prior, Molly Atwood, Christina, Jeanine Matthews, Marcus Eaton, Tobias Eaton	Chicago, Illinois	https://www.goodreads.com/book/show/13335037-divergent
Lord of the Flies	To the Ends of the Earth	William Golding	3.69	2275172	37861	At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”	182	October 1st 1999	Ralph, Piggy, Roger, Jack Merridew, Simon	NaN	https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet	NaN	William Shakespeare	3.75	2064668	19478	In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.	301	January 1st 2004	Tybalt, Friar Lawrence, Paris, Escalus, Montague, Lady Montague, Abram, Balthasar, Capulet, Lady Capulet, Sampson, Friar John, Mercutio, Benvolio, Romeo, Juliet	Verona, Italy	https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
The Alchemist	NaN	Paulo Coelho	3.88	2123114	81226	Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles in his path. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.Illustration: Jim Tierney	182	April 15th 2014	Santiago, Alchemist, Melchizedek	Egypt, Sahara Desert, Tangier, Andalusia	https://www.goodreads.com/book/show/18144590-the-alchemist
The Perks of Being a Wallflower	NaN	Stephen Chbosky	4.20	1257467	58025	standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)	213	February 1999 by	Bill, Patrick Grogan, Charlie Scorsoni (A is for Alibi), Sam Turner, Michael Dobson, Mary-Elizabeth, Candace Grogan	Pittsburgh, Pennsylvania	https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
Crime and Punishment	NaN	Fyodor Dostoyevsky	4.22	631928	19417	Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden prostitute, can offer the chance of redemption.	671	December 31st 2002	Rodion Romanovich Raskolnikov, Porfiry Petrovich, Sofia Semyonovna Marmeladova, Avdotya Romanovna Raskolnikova, Arkady Ivanovich Svidrigailov, Dmitri Prokofich Razumikhin, Katerina Ivanovna Marmeladova, Pyotr Petrovich Luzhin, Pulcheria Alexandrovna Raskolnikov, Semyon Zakharovich Marmeladov, Andrei Semyonovich Lebezyatnikov, Alyona Ivanovna, Lizaveta Ivanovna, Zossimov, Nastasya Petrovna (“Nastenka,” “Nastasyushka”), Ilya Petrovich (“Gunpowder”), Alexander Grigorievich Zamyotov, Nikolai Dementiev (“Mikolka”), Polina Mikhailovna Marmeladov (“Polya,” “Polenka,” “Polechka”)	Russian Empire, Saint Petersburg, Russian Empire, Siberia	https://www.goodreads.com/book/show/7144.Crime_and_Punishment
The Great Gatsby	NaN	F. Scott Fitzgerald	3.92	3798669	67577	"Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(back cover)"	200	September 2004 by	Nick Carraway, Jay Gatsby, Daisy Buchanan, Tom Buchanan, Jordan Baker, Myrtle Wilson, Meyer Wolfsheim, George Wilson	New York City, New York, New York State, Long Island, New York	https://www.goodreads.com/book/show/4671.The_Great_Gatsby
City of Bones	(The Mortal Instruments #1)	Cassandra Clare	4.10	1627444	62142	When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...	485	March 27th 2007	"Alexander ""Alec"" Lightwood, Jonathan ""Jace"" Wayland, Valentine Morgenstern, Isabelle ""Izzy"" Sophia Lightwood, Magnus Bane, Jocelyn Fray, Luke Garroway, Clarissa ""Clary"" Fray, Simon Lewis"	New York City, New York	https://www.goodreads.com/book/show/256683.City_of_Bones
To Kill a Mockingbird	(To Kill a Mockingbird)	Harper Lee	4.28	4530963	91866	The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.	324	May 23rd 2006	Scout Finch, Atticus Finch, Jem Finch, Arthur Radley, Mayella Ewell, Aunt Alexandra, Bob Ewell, Calpurnia (housekeeper), Tom Robinson, Miss Maudie Atkinson, Judge John Taylor, Dill Harris, Heck Tate, Stephanie Crawford	Maycomb, Alabama	https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
Ender's Game	(Ender's Saga #1)	Orson Scott Card	4.30	1138581	43440	"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.Source: hatrack.com"	324	September 30th 2004	"Dink, Bernard, Valentine Wiggin, Peter Wiggin, Mazer Rackham, Alai, Hyrum Graff, Andrew Wiggin, Petra Arkanian, ""Bean"", Major Anderson, Bonzo, Major Imbu"	NaN	https://www.goodreads.com/book/show/375802.Ender_s_Game
The Help	NaN	Kathryn Stockett	4.46	2177115	84838	Librarian's note: An alternate cover edition can be found hereThree ordinary women are about to take one extraordinary step.Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't. (jacket flap)	451	February 10th 2009	Constantine Bates, Eugenia “Skeeter” Phelan, Aibileen Clark, Minny Jackson, Hilly Holbrook, Elizabeth Leefolt, Celia Foote, Stuart Whitworth, Mae Mobley Leefolt, Leroy Jackson, Elaine Stein, Yule May Crookle, Johnny Foote, William Holbrook, Senator “Stoolie” Whitworth, Pascagoula, Treelore Clark	Jackson, Mississippi, Jackson, Mississippi, Mississippi	https://www.goodreads.com/book/show/4667024-the-help
Harry Potter and the Sorcerer's Stone	(Harry Potter #1)	J.K. Rowling	4.47	7105045	113195	Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.	309	November 1st 2003	Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Quirinus Quirrell, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Filius Flitwick, Pomona Sprout, Molly Weasley, Poppy Pomfrey, Oliver Wood, Parvati Patil, Dean Thomas, James Potter, Lily Potter, Seamus Finnigan, Garrick Ollivander, Rolanda Hooch, Katie Bell, Albus Dumbledore, Dedalus Diggle, Harry Potter, Hermione Granger, Lavender Brown	London, England, Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
